Method,Bus,Threshold,Detection_Point,Accuracy,Recall,Precision,F1_Score,AUC
CUSUM,Bus139,10.0,586.0,0.6105263157894737,0.30952380952380953,0.19330855018587362,0.2379862700228833,0.628257780550357
CUSUM,Bus139,15.0,610.0,0.5824561403508772,0.16666666666666666,0.11428571428571428,0.13559322033898305,0.628257780550357
GLR,Bus115,1.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4985443959243086
GLR,Bus115,2.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4978165938864629
GLR,Bus115,3.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.49708879184861715
GLR,Bus116,1.0,5.0,0.2023391812865497,1.0,0.1976470588235294,0.3300589390962672,0.49708879184861715
GLR,Bus116,2.0,6.0,0.20350877192982456,1.0,0.1978798586572438,0.3303834808259587,0.49563318777292575
GLR,Bus116,3.0,6.0,0.20350877192982456,1.0,0.1978798586572438,0.3303834808259587,0.4949053857350801
GLR,Bus117,1.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4985443959243086
GLR,Bus117,2.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4978165938864629
GLR,Bus117,3.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4963609898107715
GLR,Bus118,1.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4978165938864629
GLR,Bus118,2.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4963609898107715
GLR,Bus118,3.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4949053857350801
GLR,Bus119,1.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4985443959243086
GLR,Bus119,2.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4978165938864629
GLR,Bus119,3.0,1.0,0.1976608187134503,1.0,0.19672131147540983,0.3287671232876712,0.4963609898107715
GLR,Bus121,1.0,86.0,0.2970760233918129,1.0,0.21846553966189858,0.35859124866595515,0.45414847161572053
GLR,Bus121,2.0,125.0,0.34269005847953216,1.0,0.23013698630136986,0.3741648106904232,0.4250363901018923
GLR,Bus121,3.0,173.0,0.39883040935672515,1.0,0.24633431085043989,0.3952941176470588,0.3922852983988355
GLR,Bus135,1.0,9.0,0.20701754385964913,1.0,0.19858156028368795,0.33136094674556216,0.49563318777292575
GLR,Bus135,2.0,101.0,0.3146198830409357,1.0,0.22281167108753316,0.3644251626898048,0.45997088791848617
GLR,Bus135,3.0,125.0,0.34269005847953216,1.0,0.23013698630136986,0.3741648106904232,0.4468704512372635
GLR,Bus139,1.0,9.0,0.20701754385964913,1.0,0.19858156028368795,0.33136094674556216,0.49708879184861715
GLR,Bus139,2.0,9.0,0.20701754385964913,1.0,0.19858156028368795,0.33136094674556216,0.4963609898107715
GLR,Bus139,3.0,9.0,0.20701754385964913,1.0,0.19858156028368795,0.33136094674556216,0.4963609898107715
Q-Q,,,,0.7148014440433214,0.08928571428571429,0.15151515151515152,0.11235955056179775,0.48129444085326434
Method A,,,,0.23104693140794225,1.0,0.20817843866171004,,
Method A,,,,0.23104693140794225,1.0,0.20817843866171004,,
Method A,,,,0.23104693140794225,1.0,0.20817843866171004,,
Method A,,,,0.23104693140794225,1.0,0.20817843866171004,,
Method A,,,,0.23104693140794225,1.0,0.20817843866171004,,
Method A,,,,0.23104693140794225,1.0,0.20817843866171004,,
Method A,,,,0.23104693140794225,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
Method B,,,,0.20915841584158415,1.0,0.20817843866171004,,
