Method,Detection Time,Accuracy,Precision,Recall,F1 Score,False Alarm Rate,Expected Delay,Window Size,Threshold
Method A (p=0.1),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.01
Method A (p=0.2),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.01
Method A (p=0.5),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.01
Method A (p=0.7),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.01
Method A (p=0.9),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.01
Method A (At least one bus),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.05
Method A (All buses),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.05
Method A (p=0.1),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.05
Method A (p=0.2),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.05
Method A (p=0.5),0,0.30271084337349397,0.2662440570522979,1.0,0.42052565707133915,0.0,0.0,96,0.05
Method A (p=0.7),0,0.3795180722891566,0.2662835249042146,0.8273809523809523,0.4028985507246377,0.0,0.0,96,0.05
Method A (p=0.9),0,0.7816265060240963,0.632183908045977,0.3273809523809524,0.43137254901960786,0.0,0.0,96,0.05
Method A (At least one bus),0,0.26656626506024095,0.2564885496183206,1.0,0.4082624544349939,0.0,0.0,96,0.1
Method A (All buses),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.1
Method A (p=0.1),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.1
Method A (p=0.2),0,0.26656626506024095,0.2564885496183206,1.0,0.4082624544349939,0.0,0.0,96,0.1
Method A (p=0.5),0,0.42018072289156627,0.28932038834951457,0.8869047619047619,0.4363103953147877,0.0,0.0,96,0.1
Method A (p=0.7),0,0.6927710843373494,0.41262135922330095,0.5059523809523809,0.45454545454545453,0.0,0.0,96,0.1
Method A (p=0.9),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.1
Method A (At least one bus),0,0.3810240963855422,0.2786885245901639,0.9107142857142857,0.42677824267782427,0.0,0.0,96,0.2
Method A (All buses),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
Method A (p=0.1),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.2
Method A (p=0.2),0,0.3810240963855422,0.2786885245901639,0.9107142857142857,0.42677824267782427,0.0,0.0,96,0.2
Method A (p=0.5),0,0.5346385542168675,0.1780821917808219,0.23214285714285715,0.20155038759689922,0.0,0.0,96,0.2
Method A (p=0.7),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
Method A (p=0.9),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.2
Method A (At least one bus),0,0.5843373493975904,0.32,0.5714285714285714,0.41025641025641024,0.0,0.0,96,0.4
Method A (All buses),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
Method A (p=0.1),0,0.25301204819277107,0.25301204819277107,1.0,0.40384615384615385,0.0,0.0,96,0.4
Method A (p=0.2),0,0.5843373493975904,0.32,0.5714285714285714,0.41025641025641024,0.0,0.0,96,0.4
Method A (p=0.5),0,0.7228915662650602,0.0,0.0,0.0,0.0,0.0,96,0.4
Method A (p=0.7),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
Method A (p=0.9),-1,0.7469879518072289,0.0,0.0,0.0,0.0,,96,0.4
"Method B (average, average)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.01
"Method B (average, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.01
"Method B (average, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.01
"Method B (average, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.01
"Method B (median, average)",737,0.6741706161137441,0.0,0.0,0.0,0.0,737.0,6,0.01
"Method B (median, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.01
"Method B (median, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.01
"Method B (median, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.01
"Method B (outlier_detection, average)",738,0.6753554502369669,0.0,0.0,0.0,0.0,738.0,6,0.01
"Method B (outlier_detection, minimum)",0,0.1990521327014218,0.1990521327014218,1.0,0.33201581027667987,0.0,0.0,6,0.01
"Method B (outlier_detection, maximum)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.01
"Method B (outlier_detection, median)",-1,0.8009478672985783,0.0,0.0,0.0,0.0,,6,0.01
