Bus,d,k,alpha,h,Confusion Matrix,Accuracy,Precision,Recall,F1 Score
Bus116,3,10,0.1,5,"[[255   4]
 [150  18]]",0.639344262295082,0.8181818181818182,0.10714285714285714,0.18947368421052632
Bus116,3,10,0.1,10,"[[259   0]
 [166   2]]",0.6112412177985949,1.0,0.011904761904761904,0.023529411764705882
Bus116,3,10,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,10,1.0,1,"[[  2 257]
 [  0 168]]",0.3981264637002342,0.3952941176470588,1.0,0.5666104553119731
Bus116,3,10,1.0,5,"[[  6 253]
 [  0 168]]",0.40749414519906324,0.3990498812351544,1.0,0.5704584040747029
Bus116,3,10,1.0,10,"[[ 18 241]
 [  0 168]]",0.43559718969555034,0.41075794621026895,1.0,0.5823223570190641
Bus116,3,10,1.0,20,"[[ 41 218]
 [  0 168]]",0.4894613583138173,0.43523316062176165,1.0,0.6064981949458483
Bus116,3,10,1.0,30,"[[ 42 217]
 [  7 161]]",0.47540983606557374,0.42592592592592593,0.9583333333333334,0.5897435897435898
Bus116,3,10,5.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus116,3,10,5.0,5,"[[  2 257]
 [  0 168]]",0.3981264637002342,0.3952941176470588,1.0,0.5666104553119731
Bus116,3,10,5.0,10,"[[  4 255]
 [  0 168]]",0.4028103044496487,0.3971631205673759,1.0,0.5685279187817259
Bus116,3,10,5.0,20,"[[  8 251]
 [  0 168]]",0.41217798594847777,0.4009546539379475,1.0,0.5724020442930153
Bus116,3,10,5.0,30,"[[ 13 246]
 [  0 168]]",0.4238875878220141,0.4057971014492754,1.0,0.5773195876288659
Bus116,3,10,10.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus116,3,10,10.0,5,"[[  1 258]
 [  0 168]]",0.3957845433255269,0.39436619718309857,1.0,0.5656565656565656
Bus116,3,10,10.0,10,"[[  3 256]
 [  0 168]]",0.40046838407494145,0.39622641509433965,1.0,0.5675675675675675
Bus116,3,10,10.0,20,"[[  6 253]
 [  0 168]]",0.40749414519906324,0.3990498812351544,1.0,0.5704584040747029
Bus116,3,10,10.0,30,"[[  9 250]
 [  0 168]]",0.41451990632318503,0.4019138755980861,1.0,0.5733788395904437
Bus116,3,15,0.01,1,"[[259   0]
 [164   4]]",0.6159250585480094,1.0,0.023809523809523808,0.046511627906976744
Bus116,3,15,0.01,5,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.05,1,"[[259   0]
 [146  22]]",0.65807962529274,1.0,0.13095238095238096,0.23157894736842105
Bus116,3,15,0.05,5,"[[259   0]
 [163   5]]",0.6182669789227166,1.0,0.02976190476190476,0.057803468208092484
Bus116,3,15,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.1,1,"[[252   7]
 [118  50]]",0.7072599531615925,0.8771929824561403,0.2976190476190476,0.4444444444444444
Bus116,3,15,0.1,5,"[[255   4]
 [150  18]]",0.639344262295082,0.8181818181818182,0.10714285714285714,0.18947368421052632
Bus116,3,15,0.1,10,"[[259   0]
 [166   2]]",0.6112412177985949,1.0,0.011904761904761904,0.023529411764705882
Bus116,3,15,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,15,1.0,1,"[[  2 257]
 [  0 168]]",0.3981264637002342,0.3952941176470588,1.0,0.5666104553119731
Bus116,3,15,1.0,5,"[[  6 253]
 [  0 168]]",0.40749414519906324,0.3990498812351544,1.0,0.5704584040747029
Bus116,3,15,1.0,10,"[[ 18 241]
 [  0 168]]",0.43559718969555034,0.41075794621026895,1.0,0.5823223570190641
Bus116,3,15,1.0,20,"[[ 41 218]
 [  0 168]]",0.4894613583138173,0.43523316062176165,1.0,0.6064981949458483
Bus116,3,15,1.0,30,"[[ 42 217]
 [  7 161]]",0.47540983606557374,0.42592592592592593,0.9583333333333334,0.5897435897435898
Bus116,3,15,5.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus116,3,15,5.0,5,"[[  2 257]
 [  0 168]]",0.3981264637002342,0.3952941176470588,1.0,0.5666104553119731
Bus116,3,15,5.0,10,"[[  4 255]
 [  0 168]]",0.4028103044496487,0.3971631205673759,1.0,0.5685279187817259
Bus116,3,15,5.0,20,"[[  8 251]
 [  0 168]]",0.41217798594847777,0.4009546539379475,1.0,0.5724020442930153
Bus116,3,15,5.0,30,"[[ 13 246]
 [  0 168]]",0.4238875878220141,0.4057971014492754,1.0,0.5773195876288659
Bus116,3,15,10.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus116,3,15,10.0,5,"[[  1 258]
 [  0 168]]",0.3957845433255269,0.39436619718309857,1.0,0.5656565656565656
Bus116,3,15,10.0,10,"[[  3 256]
 [  0 168]]",0.40046838407494145,0.39622641509433965,1.0,0.5675675675675675
Bus116,3,15,10.0,20,"[[  6 253]
 [  0 168]]",0.40749414519906324,0.3990498812351544,1.0,0.5704584040747029
Bus116,3,15,10.0,30,"[[  9 250]
 [  0 168]]",0.41451990632318503,0.4019138755980861,1.0,0.5733788395904437
Bus116,3,20,0.01,1,"[[259   0]
 [164   4]]",0.6159250585480094,1.0,0.023809523809523808,0.046511627906976744
Bus116,3,20,0.01,5,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.05,1,"[[259   0]
 [146  22]]",0.65807962529274,1.0,0.13095238095238096,0.23157894736842105
Bus116,3,20,0.05,5,"[[259   0]
 [163   5]]",0.6182669789227166,1.0,0.02976190476190476,0.057803468208092484
Bus116,3,20,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.1,1,"[[252   7]
 [112  56]]",0.7213114754098361,0.8888888888888888,0.3333333333333333,0.48484848484848486
Bus116,3,20,0.1,5,"[[255   4]
 [143  25]]",0.6557377049180327,0.8620689655172413,0.1488095238095238,0.25380710659898476
Bus116,3,20,0.1,10,"[[259   0]
 [167   1]]",0.6088992974238876,1.0,0.005952380952380952,0.011834319526627219
Bus116,3,20,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus116,3,20,1.0,1,"[[  2 257]
 [  0 168]]",0.3981264637002342,0.3952941176470588,1.0,0.5666104553119731
Bus116,3,20,1.0,5,"[[  7 252]
 [  0 168]]",0.4098360655737705,0.4,1.0,0.5714285714285714
Bus116,3,20,1.0,10,"[[ 19 240]
 [  0 168]]",0.4379391100702576,0.4117647058823529,1.0,0.5833333333333334
Bus116,3,20,1.0,20,"[[ 42 217]
 [  0 168]]",0.4918032786885246,0.43636363636363634,1.0,0.6075949367088608
Bus116,3,20,1.0,30,"[[ 42 217]
 [  8 160]]",0.47306791569086654,0.4244031830238727,0.9523809523809523,0.5871559633027523
Bus116,3,20,5.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus116,3,20,5.0,5,"[[  2 257]
 [  0 168]]",0.3981264637002342,0.3952941176470588,1.0,0.5666104553119731
Bus116,3,20,5.0,10,"[[  4 255]
 [  0 168]]",0.4028103044496487,0.3971631205673759,1.0,0.5685279187817259
Bus116,3,20,5.0,20,"[[  8 251]
 [  0 168]]",0.41217798594847777,0.4009546539379475,1.0,0.5724020442930153
Bus116,3,20,5.0,30,"[[ 13 246]
 [  0 168]]",0.4238875878220141,0.4057971014492754,1.0,0.5773195876288659
Bus116,3,20,10.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus116,3,20,10.0,5,"[[  1 258]
 [  0 168]]",0.3957845433255269,0.39436619718309857,1.0,0.5656565656565656
Bus116,3,20,10.0,10,"[[  3 256]
 [  0 168]]",0.40046838407494145,0.39622641509433965,1.0,0.5675675675675675
Bus116,3,20,10.0,20,"[[  6 253]
 [  0 168]]",0.40749414519906324,0.3990498812351544,1.0,0.5704584040747029
Bus116,3,20,10.0,30,"[[ 10 249]
 [  0 168]]",0.4168618266978923,0.4028776978417266,1.0,0.5743589743589743
Bus117,3,10,0.01,1,"[[259   0]
 [163   5]]",0.6182669789227166,1.0,0.02976190476190476,0.057803468208092484
Bus117,3,10,0.01,5,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.01,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.01,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.01,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.05,1,"[[259   0]
 [150  18]]",0.6487119437939111,1.0,0.10714285714285714,0.1935483870967742
Bus117,3,10,0.05,5,"[[259   0]
 [164   4]]",0.6159250585480094,1.0,0.023809523809523808,0.046511627906976744
Bus117,3,10,0.05,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.05,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.05,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.1,1,"[[255   4]
 [126  42]]",0.6955503512880562,0.9130434782608695,0.25,0.3925233644859813
Bus117,3,10,0.1,5,"[[259   0]
 [154  14]]",0.639344262295082,1.0,0.08333333333333333,0.15384615384615385
Bus117,3,10,0.1,10,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.1,20,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,0.1,30,"[[259   0]
 [168   0]]",0.6065573770491803,0.0,0.0,0.0
Bus117,3,10,1.0,1,"[[  6 253]
 [  0 168]]",0.40749414519906324,0.3990498812351544,1.0,0.5704584040747029
Bus117,3,10,1.0,5,"[[ 10 249]
 [  0 168]]",0.4168618266978923,0.4028776978417266,1.0,0.5743589743589743
Bus117,3,10,1.0,10,"[[ 19 240]
 [  0 168]]",0.4379391100702576,0.4117647058823529,1.0,0.5833333333333334
Bus117,3,10,1.0,20,"[[ 40 219]
 [  0 168]]",0.48711943793911006,0.43410852713178294,1.0,0.6054054054054054
Bus117,3,10,1.0,30,"[[ 42 217]
 [  4 164]]",0.48243559718969553,0.4304461942257218,0.9761904761904762,0.5974499089253188
Bus117,3,10,5.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus117,3,10,5.0,5,"[[  2 257]
 [  0 168]]",0.3981264637002342,0.3952941176470588,1.0,0.5666104553119731
Bus117,3,10,5.0,10,"[[  5 254]
 [  0 168]]",0.405152224824356,0.3981042654028436,1.0,0.5694915254237288
Bus117,3,10,5.0,20,"[[  9 250]
 [  0 168]]",0.41451990632318503,0.4019138755980861,1.0,0.5733788395904437
Bus117,3,10,5.0,30,"[[ 14 245]
 [  0 168]]",0.4262295081967213,0.4067796610169492,1.0,0.5783132530120482
Bus117,3,10,10.0,1,"[[  0 259]
 [  0 168]]",0.39344262295081966,0.39344262295081966,1.0,0.5647058823529412
Bus117,3,10,10.0,5,"[[  2 257]
 [  0 168]]",0.3981264637002342,0.3952941176470588,1.0,0.5666104553119731
Bus117,3,10,10.0,10,"[[  4 255]
 [  0 168]]",0.4028103044496487,0.3971631205673759,1.0,0.5685279187817259
